,BirdID,Brood.code,Chick.code,social.fem,social.male,Age,Date,Year,Time,Mass,Chick.order,Air.temp,max.temp,CF.brood.no,f.cc,femID,m.cc,maleID,maxage,surv
205,10088,R039,CR0121,NR/MY,MC/OO,5,20/05/2018,2018,08:03:00,10.3,3,12.8,32.75397872,NA,NR/MY,9214,MC/OO,5466,12,0
204,10088,R039,CR0121,NR/MY,MC/OO,10,25/05/2018,2018,07:47:00,19.2,3,15.5,36.72707579,NA,NR/MY,9214,MC/OO,5466,12,1
206,10088,R039,CR0121,NR/MY,MC/OO,12,27/05/2018,2018,07:51:00,22.1,2,16.8,35.84576112,NA,NR/MY,9214,MC/OO,5466,12,0
208,10089,R043,CR0122,ON/MY,RV/MY,2,17/05/2018,2018,07:58:00,3.9,3,10.5,26.4,R039,ON/MY,9254,RV/MY,9240,5,1
209,10089,R039,CR0122,NR/MY,MC/OO,5,20/05/2018,2018,08:03:00,5.8,2,12.8,31.97884628,NA,NR/MY,9214,MC/OO,5466,5,0
211,10091,R045,CR0124,NM/YW,BR/MN,2,18/05/2018,2018,07:17:00,4.2,1,11.1,29.9,R036,NM/YW,9474,BR/MN,9592,5,0
210,10091,R036,CR0124,OB/MY,NA,5,21/05/2018,2018,08:22:00,8,1,13,25.28015489,NA,OB/MY,9252,NA,NA,5,1
213,10092,R045,CR0125,NM/YW,BR/MN,2,18/05/2018,2018,07:17:00,2.5,2,11.1,26.7,R036,NM/YW,9474,BR/MN,9592,5,1
212,10092,R036,CR0125,OB/MY,NA,5,21/05/2018,2018,08:22:00,6.8,2,13,24.14265991,NA,OB/MY,9252,NA,NA,5,0
214,10093,R045,CR0126,NM/YW,BR/MN,2,18/05/2018,2018,07:17:00,3.5,3,11.1,25.9,R041,NM/YW,9474,BR/MN,9592,12,0
216,10093,R041,CR0126,NA,NA,5,21/05/2018,2018,08:08:00,9.7,3,14.2,30.95648982,NA,NA,NA,NA,NA,12,1
215,10093,R041,CR0126,NA,NA,10,26/05/2018,2018,09:08:00,15.4,1,14.6,36.568955,NA,NA,NA,NA,NA,12,0
217,10093,R041,CR0126,NA,NA,12,28/05/2018,2018,09:19:00,18.1,2,20.3,39.103236,NA,NA,NA,NA,NA,12,1
220,10094,R041,CR0127,NA,NA,2,18/05/2018,2018,07:29:00,3.5,1,10.8,23.3,R045,NA,NA,NA,NA,12,1
219,10094,R045,CR0127,NM/YW,BR/MN,5,21/05/2018,2018,08:00:00,8,3,15.1,31.58085258,NA,NM/YW,9474,BR/MN,9592,12,1
218,10094,R045,CR0127,NM/YW,BR/MN,10,26/05/2018,2018,08:32:00,14.6,1,15.5,36.78774974,NA,NM/YW,9474,BR/MN,9592,12,1
221,10094,R045,CR0127,NM/YW,BR/MN,12,28/05/2018,2018,10:31:00,20.3,3,22.3,39.21191758,NA,NM/YW,9474,BR/MN,9592,12,0
225,10095,R041,CR0128,NA,NA,2,18/05/2018,2018,07:29:00,3.7,2,10.8,22.3,R045,NA,NA,NA,NA,12,1
222,10095,R045,CR0128,NM/YW,BR/MN,5,21/05/2018,2018,08:00:00,8.7,1,15.1,31.53785529,NA,NM/YW,9474,BR/MN,9592,12,1
224,10095,R045,CR0128,NM/YW,BR/MN,10,26/05/2018,2018,08:32:00,14.8,3,15.4,37.71138722,NA,NM/YW,9474,BR/MN,9592,12,1
223,10095,R045,CR0128,NM/YW,BR/MN,12,28/05/2018,2018,10:31:00,22.6,1,22.2,40.32581077,NA,NM/YW,9474,BR/MN,9592,12,1
227,10096,R041,CR0129,NA,NA,2,18/05/2018,2018,07:29:00,3,3,10.8,20.8,R045,NA,NA,NA,NA,12,0
