,BirdID,Brood.code,Chick.code,social.fem,social.male,Age,Date,Year,Time,Mass,Chick.order,Air.temp,max.temp,CF.brood.no,f.cc,femID,m.cc,maleID,maxage,surv
611,10218,R083,CR0251,MD/NB,MY/YW,10,13/06/2018,2018,07:55:00,25.3,3,19.1,38.5,NA,MD/NB,6724,MY/YW,8906,12,0
612,10218,R083,CR0251,MD/NB,MY/YW,12,15/06/2018,2018,09:08:00,25.9,1,17.9,38.5802799,NA,MD/NB,6724,MY/YW,8906,12,1
615,10219,R083,CR0252,MD/NB,MY/YW,2,05/06/2018,2018,11:05:00,5.1,2,18.4,31.9,NA,MD/NB,6724,MY/YW,8906,12,0
618,10219,R083,CR0252,MD/NB,MY/YW,5,08/06/2018,2018,08:32:00,12,1,19.5,35.87161114,NA,MD/NB,6724,MY/YW,8906,12,0
616,10219,R083,CR0252,MD/NB,MY/YW,10,13/06/2018,2018,07:55:00,24.7,2,19.1,39.3,NA,MD/NB,6724,MY/YW,8906,12,0
617,10219,R083,CR0252,MD/NB,MY/YW,12,15/06/2018,2018,09:08:00,25.3,3,18.1,37.49981651,NA,MD/NB,6724,MY/YW,8906,12,1
621,10220,R083,CR0253,MD/NB,MY/YW,2,05/06/2018,2018,11:05:00,5.4,3,18.4,31.8,NA,MD/NB,6724,MY/YW,8906,12,0
620,10220,R083,CR0253,MD/NB,MY/YW,5,08/06/2018,2018,08:32:00,13.9,3,19.5,34.54287665,NA,MD/NB,6724,MY/YW,8906,12,0
622,10220,R083,CR0253,MD/NB,MY/YW,10,13/06/2018,2018,07:55:00,24.9,1,19.1,39.43841099,NA,MD/NB,6724,MY/YW,8906,12,0
619,10220,R083,CR0253,MD/NB,MY/YW,12,15/06/2018,2018,09:08:00,24,2,18,38.3,NA,MD/NB,6724,MY/YW,8906,12,1
626,10221,R089,CR0254,OD/MW,NM/VD,2,06/06/2018,2018,09:40:00,4.2,1,20.4,36.83012704,NA,OD/MW,4976,NM/VD,9632,12,0
625,10221,R089,CR0254,OD/MW,NM/VD,5,09/06/2018,2018,09:45:00,9.5,2,20.8,36.04891989,NA,OD/MW,4976,NM/VD,9632,12,0
623,10221,R089,CR0254,OD/MW,NM/VD,10,14/06/2018,2018,11:40:00,24.5,1,21.9,40.4,NA,OD/MW,4976,NM/VD,9632,12,0
624,10221,R089,CR0254,OD/MW,NM/VD,12,16/06/2018,2018,10:20:00,24.6,2,17.6,38.00052347,NA,OD/MW,4976,NM/VD,9632,12,1
630,10222,R089,CR0255,OD/MW,NM/VD,2,06/06/2018,2018,09:40:00,4.8,2,20.4,35.312961,NA,OD/MW,4976,NM/VD,9632,12,0
627,10222,R089,CR0255,OD/MW,NM/VD,5,09/06/2018,2018,09:45:00,10.4,1,20.8,36.71856713,NA,OD/MW,4976,NM/VD,9632,12,0
628,10222,R089,CR0255,OD/MW,NM/VD,10,14/06/2018,2018,11:40:00,24.2,2,22,39.4,NA,OD/MW,4976,NM/VD,9632,12,0
629,10222,R089,CR0255,OD/MW,NM/VD,12,16/06/2018,2018,10:20:00,24.6,1,17.6,38.46055888,NA,OD/MW,4976,NM/VD,9632,12,1
632,10223,R089,CR0256,OD/MW,NM/VD,2,06/06/2018,2018,09:40:00,2.6,3,20.5,30.4265158,NA,OD/MW,4976,NM/VD,9632,12,0
634,10223,R089,CR0256,OD/MW,NM/VD,5,09/06/2018,2018,09:45:00,5.7,3,20.9,34.7,NA,OD/MW,4976,NM/VD,9632,12,0
633,10223,R089,CR0256,OD/MW,NM/VD,10,14/06/2018,2018,11:40:00,16,3,22,39.1,NA,OD/MW,4976,NM/VD,9632,12,0
631,10223,R089,CR0256,OD/MW,NM/VD,12,16/06/2018,2018,10:20:00,18.9,3,17.6,38.66445257,NA,OD/MW,4976,NM/VD,9632,12,1
638,10224,R085,CR0257,NA,NM/YR,2,07/06/2018,2018,11:29:00,2.8,1,22.3,29.14869628,R084,NA,NA,NM/YR,9449,12,0
637,10224,R084,CR0257,DM/CV,DM/OB,5,10/06/2018,2018,09:00:00,9.6,2,21.2,35.5,NA,DM/CV,6955,DM/OB,6924,12,0
636,10224,R084,CR0257,DM/CV,DM/OB,10,15/06/2018,2018,11:32:00,20,1,19.7,39.92198455,NA,DM/CV,6955,DM/OB,6924,12,0
635,10224,R084,CR0257,DM/CV,DM/OB,12,17/06/2018,2018,11:36:00,22.4,1,17.1,38.22537744,NA,DM/CV,6955,DM/OB,6924,12,1
641,10225,R085,CR0258,NA,NM/YR,2,07/06/2018,2018,11:29:00,5.3,2,22.2,32.7040625,R084,NA,NA,NM/YR,9449,12,0
642,10225,R084,CR0258,DM/CV,DM/OB,5,10/06/2018,2018,09:00:00,14.4,1,21.2,35.47490185,NA,DM/CV,6955,DM/OB,6924,12,0
639,10225,R084,CR0258,DM/CV,DM/OB,10,15/06/2018,2018,11:32:00,26,2,19.8,39.3922593,NA,DM/CV,6955,DM/OB,6924,12,0
640,10225,R084,CR0258,DM/CV,DM/OB,12,17/06/2018,2018,11:36:00,25.9,2,17.1,38.94462039,NA,DM/CV,6955,DM/OB,6924,12,1
644,10226,R085,CR0259,NA,NM/YR,2,07/06/2018,2018,11:29:00,6.7,3,22.2,31.04756488,NA,NA,NA,NM/YR,9449,10,0
643,10226,R085,CR0259,NA,NM/YR,5,10/06/2018,2018,09:10:00,15.2,2,21.6,37.07775907,NA,NA,NA,NM/YR,9449,10,0
645,10226,R085,CR0259,NA,NM/YR,10,15/06/2018,2018,10:58:00,23.1,2,19.7,38.40015153,NA,NA,NA,NM/YR,9449,10,1
647,10227,R085,CR0260,NA,NM/YR,2,07/06/2018,2018,11:29:00,5.7,4,22.3,30.25013498,NA,NA,NA,NM/YR,9449,10,0
646,10227,R085,CR0260,NA,NM/YR,5,10/06/2018,2018,09:10:00,12.4,1,21.5,36.41820194,NA,NA,NA,NM/YR,9449,10,0
648,10227,R085,CR0260,NA,NM/YR,10,15/06/2018,2018,10:58:00,21.1,1,19.8,38.31858954,NA,NA,NA,NM/YR,9449,10,1
649,10228,R084,CR0261,DM/CV,DM/OB,2,07/06/2018,2018,11:19:00,4.3,1,22.1,32.83829647,R085,DM/CV,6955,DM/OB,6924,10,0
651,10228,R085,CR0261,NA,NM/YR,5,10/06/2018,2018,09:10:00,10.8,4,21.6,40.64548671,NA,NA,NA,NM/YR,9449,10,0
650,10228,R085,CR0261,NA,NM/YR,10,15/06/2018,2018,10:58:00,19.5,4,19.6,38.57230724,NA,NA,NA,NM/YR,9449,10,1
652,10229,R084,CR0262,DM/CV,DM/OB,2,07/06/2018,2018,11:19:00,4.5,2,22.1,33.78072696,R085,DM/CV,6955,DM/OB,6924,10,0
654,10229,R085,CR0262,NA,NM/YR,5,10/06/2018,2018,09:10:00,11.5,3,21.6,36.56585318,NA,NA,NA,NM/YR,9449,10,0
653,10229,R085,CR0262,NA,NM/YR,10,15/06/2018,2018,10:58:00,21.7,3,19.6,39.75029039,NA,NA,NA,NM/YR,9449,10,1
655,10233,R092,CR0266,YM/WY,NM/CN,2,10/06/2018,2018,08:48:00,6.1,1,20.9,35.98105009,R090,YM/WY,8956,NM/CN,9564,12,0
657,10233,R090,CR0266,YW/MB,RM/OY,5,13/06/2018,2018,08:19:00,9.9,1,20.1,36.11976172,NA,YW/MB,8726,RM/OY,7615,12,0
656,10233,R090,CR0266,YW/MB,RM/OY,12,18/06/2018,2018,07:52:00,22.6,2,17.4,39.75355471,NA,YW/MB,8726,RM/OY,7615,12,1
660,10234,R092,CR0267,YM/WY,NM/CN,2,10/06/2018,2018,08:48:00,6.2,2,20.9,33.8,R090,YM/WY,8956,NM/CN,9564,12,0
658,10234,R090,CR0267,YW/MB,RM/OY,5,13/06/2018,2018,08:19:00,15.5,3,20.2,36.84405109,NA,YW/MB,8726,RM/OY,7615,12,0
659,10234,R090,CR0267,YW/MB,RM/OY,12,18/06/2018,2018,07:52:00,26,1,17.3,40.08595748,NA,YW/MB,8726,RM/OY,7615,12,1
663,10235,R092,CR0268,YM/WY,NM/CN,2,10/06/2018,2018,08:48:00,4.6,3,21,33.4,R090,YM/WY,8956,NM/CN,9564,12,0
661,10235,R090,CR0268,YW/MB,RM/OY,5,13/06/2018,2018,08:19:00,12.4,2,20.2,36.85554732,NA,YW/MB,8726,RM/OY,7615,12,0
662,10235,R090,CR0268,YW/MB,RM/OY,12,18/06/2018,2018,07:52:00,24.1,3,17.4,37.28866765,NA,YW/MB,8726,RM/OY,7615,12,1
665,10236,R090,CR0269,YW/MB,RM/OY,2,10/06/2018,2018,08:34:00,2.6,1,20.5,35.8,R092,YW/MB,8726,RM/OY,7615,12,0
666,10236,R092,CR0269,YM/WY,NM/CN,5,13/06/2018,2018,08:05:00,7.8,1,19.3,35.75624449,NA,YM/WY,8956,NM/CN,9564,12,0
664,10236,R092,CR0269,YM/WY,NM/CN,12,18/06/2018,2018,08:33:00,10.5,3,18.6,34.29686846,NA,YM/WY,8956,NM/CN,9564,12,1
669,10237,R090,CR0270,YW/MB,RM/OY,2,10/06/2018,2018,08:34:00,4,2,20.5,33.8,R092,YW/MB,8726,RM/OY,7615,12,0
668,10237,R092,CR0270,YM/WY,NM/CN,5,13/06/2018,2018,08:05:00,11.4,3,19.4,36.78788484,NA,YM/WY,8956,NM/CN,9564,12,0
667,10237,R092,CR0270,YM/WY,NM/CN,12,18/06/2018,2018,08:33:00,18.4,1,18.5,40.6,NA,YM/WY,8956,NM/CN,9564,12,1
672,10238,R090,CR0271,YW/MB,RM/OY,2,10/06/2018,2018,08:34:00,3.7,3,20.5,33.1,R092,YW/MB,8726,RM/OY,7615,12,0
670,10238,R092,CR0271,YM/WY,NM/CN,5,13/06/2018,2018,08:05:00,8.9,2,19.4,36.72461292,NA,YM/WY,8956,NM/CN,9564,12,0
671,10238,R092,CR0271,YM/WY,NM/CN,12,18/06/2018,2018,08:33:00,13.5,2,18.5,36.44079615,NA,YM/WY,8956,NM/CN,9564,12,1
673,10239,R091,CR0272,MY/NB,NA,2,11/06/2018,2018,08:20:00,3.7,1,21.6,34.5,NA,MY/NB,8821,NA,NA,12,0
675,10239,R091,CR0272,MY/NB,NA,5,14/06/2018,2018,11:18:00,11.3,2,21.6,36.74722293,NA,MY/NB,8821,NA,NA,12,0
676,10239,R091,CR0272,MY/NB,NA,10,19/06/2018,2018,10:31:00,18.9,3,18.3,38.53862102,NA,MY/NB,8821,NA,NA,12,0
674,10239,R091,CR0272,MY/NB,NA,12,21/06/2018,2018,11:23:00,21.9,2,18.7,38.80241758,NA,MY/NB,8821,NA,NA,12,1
679,10240,R091,CR0273,MY/NB,NA,2,11/06/2018,2018,08:20:00,4.1,2,21.6,36,NA,MY/NB,8821,NA,NA,12,0
677,10240,R091,CR0273,MY/NB,NA,5,14/06/2018,2018,11:18:00,12.6,3,21.7,36.57792993,NA,MY/NB,8821,NA,NA,12,0
678,10240,R091,CR0273,MY/NB,NA,10,19/06/2018,2018,10:31:00,20.5,1,18.2,40.84302454,NA,MY/NB,8821,NA,NA,12,0
680,10240,R091,CR0273,MY/NB,NA,12,21/06/2018,2018,11:23:00,24.4,1,18.6,40.31070023,NA,MY/NB,8821,NA,NA,12,1
684,10241,R091,CR0274,MY/NB,NA,2,11/06/2018,2018,08:20:00,3.8,3,21.6,35,NA,MY/NB,8821,NA,NA,12,0
682,10241,R091,CR0274,MY/NB,NA,5,14/06/2018,2018,11:18:00,8.6,1,21.6,35.13074358,NA,MY/NB,8821,NA,NA,12,0
681,10241,R091,CR0274,MY/NB,NA,10,19/06/2018,2018,10:31:00,12.2,2,18.2,36.86785859,NA,MY/NB,8821,NA,NA,12,0
683,10241,R091,CR0274,MY/NB,NA,12,21/06/2018,2018,11:23:00,14.1,3,18.7,38.7,NA,MY/NB,8821,NA,NA,12,1
686,10242,R087,CR0275,YM/VC,MY/RW,2,12/06/2018,2018,08:20:00,5.8,1,16.5,27.1,R094,YM/VC,8989,MY/RW,8830,12,0
687,10242,R094,CR0275,YN/MV,MY/WC,5,15/06/2018,2018,11:56:00,14.1,1,20.7,37.10545934,NA,YN/MV,9931,MY/WC,8770,12,0
685,10242,R094,CR0275,YN/MV,MY/WC,12,20/06/2018,2018,09:12:00,20.3,2,17.4,37.02549857,NA,YN/MV,9931,MY/WC,8770,12,1
688,10243,R087,CR0276,YM/VC,MY/RW,2,12/06/2018,2018,08:20:00,4.4,2,16.5,26.9,R094,YM/VC,8989,MY/RW,8830,5,0
689,10243,R094,CR0276,YN/MV,MY/WC,5,15/06/2018,2018,11:56:00,12.6,2,20.8,38.72670343,NA,YN/MV,9931,MY/WC,8770,5,1
690,10244,R087,CR0277,YM/VC,MY/RW,2,12/06/2018,2018,08:20:00,2.9,3,16.6,26.9,R094,YM/VC,8989,MY/RW,8830,12,0
691,10244,R094,CR0277,YN/MV,MY/WC,5,15/06/2018,2018,11:56:00,12,3,20.8,37.79519996,NA,YN/MV,9931,MY/WC,8770,12,0
692,10244,R094,CR0277,YN/MV,MY/WC,12,20/06/2018,2018,09:12:00,16.5,3,17.4,36.68624261,NA,YN/MV,9931,MY/WC,8770,12,1
696,10245,R087,CR0278,YM/VC,MY/RW,2,12/06/2018,2018,08:20:00,5.9,4,16.7,26.1,NA,YM/VC,8989,MY/RW,8830,12,0
695,10245,R087,CR0278,YM/VC,MY/RW,5,15/06/2018,2018,08:13:00,10.2,4,15,35,NA,YM/VC,8989,MY/RW,8830,12,0
694,10245,R087,CR0278,YM/VC,MY/RW,10,20/06/2018,2018,07:42:00,21.2,3,15.1,38.50059945,NA,YM/VC,8989,MY/RW,8830,12,0
693,10245,R087,CR0278,YM/VC,MY/RW,12,22/06/2018,2018,11:09:00,24.6,2,21.1,39.83297241,NA,YM/VC,8989,MY/RW,8830,12,1
698,10246,R094,CR0279,YN/MV,MY/WC,2,12/06/2018,2018,08:37:00,6.6,1,17.2,34.41346992,R087,YN/MV,9931,MY/WC,8770,12,0
700,10246,R087,CR0279,YM/VC,MY/RW,5,15/06/2018,2018,08:13:00,13.3,2,14.9,35.51414099,NA,YM/VC,8989,MY/RW,8830,12,0
697,10246,R087,CR0279,YM/VC,MY/RW,10,20/06/2018,2018,07:42:00,22.2,1,15.1,40.21060207,NA,YM/VC,8989,MY/RW,8830,12,0
699,10246,R087,CR0279,YM/VC,MY/RW,12,22/06/2018,2018,11:09:00,22.5,4,21.1,38.7,NA,YM/VC,8989,MY/RW,8830,12,1
704,10247,R094,CR0280,YN/MV,MY/WC,2,12/06/2018,2018,08:37:00,8,2,17.2,34.92866617,R087,YN/MV,9931,MY/WC,8770,12,0
701,10247,R087,CR0280,YM/VC,MY/RW,5,15/06/2018,2018,08:13:00,15.2,3,14.9,37.05628807,NA,YM/VC,8989,MY/RW,8830,12,0
702,10247,R087,CR0280,YM/VC,MY/RW,10,20/06/2018,2018,07:42:00,22.5,4,15.1,37.01751711,NA,YM/VC,8989,MY/RW,8830,12,0
703,10247,R087,CR0280,YM/VC,MY/RW,12,22/06/2018,2018,11:09:00,22.9,3,21.1,38.95529576,NA,YM/VC,8989,MY/RW,8830,12,1
707,10248,R094,CR0281,YN/MV,MY/WC,2,12/06/2018,2018,08:37:00,4.3,3,17.3,32.2,R087,YN/MV,9931,MY/WC,8770,12,0
705,10248,R087,CR0281,YM/VC,MY/RW,5,15/06/2018,2018,08:13:00,9,1,14.9,35.76270714,NA,YM/VC,8989,MY/RW,8830,12,0
708,10248,R087,CR0281,YM/VC,MY/RW,10,20/06/2018,2018,07:42:00,16.5,2,15.1,38.8618135,NA,YM/VC,8989,MY/RW,8830,12,0
706,10248,R087,CR0281,YM/VC,MY/RW,12,22/06/2018,2018,11:09:00,18.9,1,21.1,39.83297241,NA,YM/VC,8989,MY/RW,8830,12,1
712,10254,R093,CR0287,NA,NM/VC,2,14/06/2018,2018,11:05:00,4,1,20.9,33.58529895,NA,NA,NA,NM/VC,9563,12,0
710,10254,R093,CR0287,NA,NM/VC,5,17/06/2018,2018,09:20:00,10.4,1,16.9,38.02253132,NA,NA,NA,NM/VC,9563,12,0
709,10254,R093,CR0287,NA,NM/VC,10,22/06/2018,2018,12:17:00,19.3,2,20.7,39.09007985,NA,NA,NA,NM/VC,9563,12,0
711,10254,R093,CR0287,NA,NM/VC,12,24/06/2018,2018,12:05:00,23,2,24.8,40.6,NA,NA,NA,NM/VC,9563,12,1
713,10255,R093,CR0288,NA,NM/VC,2,14/06/2018,2018,11:05:00,4,2,20.9,32.7,NA,NA,NA,NM/VC,9563,12,0
715,10255,R093,CR0288,NA,NM/VC,5,17/06/2018,2018,09:20:00,10.4,3,16.9,35.71895575,NA,NA,NA,NM/VC,9563,12,0
714,10255,R093,CR0288,NA,NM/VC,10,22/06/2018,2018,12:17:00,20.7,1,20.7,38.32076349,NA,NA,NA,NM/VC,9563,12,0
716,10255,R093,CR0288,NA,NM/VC,12,24/06/2018,2018,12:05:00,23,1,24.8,39.24180269,NA,NA,NA,NM/VC,9563,12,1
717,10256,R093,CR0289,NA,NM/VC,2,14/06/2018,2018,11:05:00,1.9,3,21,32.7,NA,NA,NA,NM/VC,9563,2,1
720,10257,R093,CR0290,NA,NM/VC,2,14/06/2018,2018,11:05:00,4.2,4,21.1,32.3,NA,NA,NA,NM/VC,9563,12,0
719,10257,R093,CR0290,NA,NM/VC,5,17/06/2018,2018,09:20:00,9.7,2,16.9,36.63196893,NA,NA,NA,NM/VC,9563,12,0
721,10257,R093,CR0290,NA,NM/VC,10,22/06/2018,2018,12:17:00,18.7,3,20.6,39.40192186,NA,NA,NA,NM/VC,9563,12,0
722,10257,R093,CR0290,NA,NM/VC,12,24/06/2018,2018,12:05:00,21.3,3,24.8,39.9,NA,NA,NA,NM/VC,9563,12,1
723,10259,R095,CR0292,BM/DC,YM/OD,2,15/06/2018,2018,11:14:00,3.8,1,19.5,33,NA,BM/DC,8750,YM/OD,8983,2,1
724,10260,R095,CR0293,BM/DC,YM/OD,2,15/06/2018,2018,11:14:00,4.1,2,19.5,33.65947846,NA,BM/DC,8750,YM/OD,8983,2,1
725,10261,R095,CR0294,BM/DC,YM/OD,2,15/06/2018,2018,11:14:00,2,3,19.5,31.5,NA,BM/DC,8750,YM/OD,8983,2,1
726,10262,R095,CR0295,BM/DC,YM/OD,2,15/06/2018,2018,11:14:00,2.8,4,19.5,30.9,NA,BM/DC,8750,YM/OD,8983,2,1
729,10263,R099,CR0296,MB/RW,YM/WR,2,16/06/2018,2018,09:12:00,4.1,1,17.3,30.79169212,NA,MB/RW,8448,YM/WR,8947,10,0
728,10263,R099,CR0296,MB/RW,YM/WR,5,19/06/2018,2018,09:15:00,8.9,4,17.4,33.6332544,NA,MB/RW,8448,YM/WR,8947,10,0
727,10263,R099,CR0296,MB/RW,YM/WR,10,24/06/2018,2018,11:23:00,21.8,2,23.8,38.42602667,NA,MB/RW,8448,YM/WR,8947,10,1
731,10264,R099,CR0297,MB/RW,YM/WR,2,16/06/2018,2018,09:12:00,4.1,2,17.4,30.43827465,NA,MB/RW,8448,YM/WR,8947,10,0
732,10264,R099,CR0297,MB/RW,YM/WR,5,19/06/2018,2018,09:15:00,9.4,3,17.3,33.1971413,NA,MB/RW,8448,YM/WR,8947,10,0
730,10264,R099,CR0297,MB/RW,YM/WR,10,24/06/2018,2018,11:23:00,23.2,3,23.9,39.06875545,NA,MB/RW,8448,YM/WR,8947,10,1
734,10265,R099,CR0298,MB/RW,YM/WR,2,16/06/2018,2018,09:12:00,4.3,3,17.4,29.6,NA,MB/RW,8448,YM/WR,8947,10,0
733,10265,R099,CR0298,MB/RW,YM/WR,5,19/06/2018,2018,09:15:00,9.2,2,17.2,33.82675946,NA,MB/RW,8448,YM/WR,8947,10,0
735,10265,R099,CR0298,MB/RW,YM/WR,10,24/06/2018,2018,11:23:00,23.5,1,23.9,37.99741412,NA,MB/RW,8448,YM/WR,8947,10,1
736,10266,R099,CR0299,MB/RW,YM/WR,2,16/06/2018,2018,09:12:00,2.9,4,17.5,29.2,NA,MB/RW,8448,YM/WR,8947,5,0
737,10266,R099,CR0299,MB/RW,YM/WR,5,19/06/2018,2018,09:15:00,3.8,1,17.2,35.28722426,NA,MB/RW,8448,YM/WR,8947,5,1
741,10267,R097,CR0300,NA,BM/OV,2,17/06/2018,2018,11:57:00,3.1,1,17.1,32.00333447,R100,NA,NA,BM/OV,8567,12,0
740,10267,R100,CR0300,MB/RB,MN/DB,5,20/06/2018,2018,08:43:00,5.9,1,16.4,31.73707061,NA,MB/RB,8398,MN/DB,9416,12,0
739,10267,R100,CR0300,MB/RB,MN/DB,10,25/06/2018,2018,11:29:00,10.2,3,26.9,39.32558183,NA,MB/RB,8398,MN/DB,9416,12,0
738,10267,R100,CR0300,MB/RB,MN/DB,12,27/06/2018,2018,09:04:00,14.4,3,21.8,38.46655819,NA,MB/RB,8398,MN/DB,9416,12,1
742,10268,R097,CR0301,NA,BM/OV,2,17/06/2018,2018,11:57:00,4.4,2,17.1,33.50938356,R100,NA,NA,BM/OV,8567,12,0
743,10268,R100,CR0301,MB/RB,MN/DB,5,20/06/2018,2018,08:43:00,10.5,2,16.5,33.18531806,NA,MB/RB,8398,MN/DB,9416,12,0
745,10268,R100,CR0301,MB/RB,MN/DB,10,25/06/2018,2018,11:29:00,22.4,1,26.9,38.75527994,NA,MB/RB,8398,MN/DB,9416,12,0
744,10268,R100,CR0301,MB/RB,MN/DB,12,27/06/2018,2018,09:04:00,24.1,1,21.5,39.11256877,NA,MB/RB,8398,MN/DB,9416,12,1
746,10269,R097,CR0302,NA,BM/OV,2,17/06/2018,2018,11:57:00,4.7,3,17.1,32.07521819,R100,NA,NA,BM/OV,8567,12,0
749,10269,R100,CR0302,MB/RB,MN/DB,5,20/06/2018,2018,08:43:00,11.1,3,16.6,33.76914308,NA,MB/RB,8398,MN/DB,9416,12,0
748,10269,R100,CR0302,MB/RB,MN/DB,10,25/06/2018,2018,11:29:00,23.2,2,26.9,40.03888657,NA,MB/RB,8398,MN/DB,9416,12,0
747,10269,R100,CR0302,MB/RB,MN/DB,12,27/06/2018,2018,09:04:00,25.8,2,21.6,40.55192724,NA,MB/RB,8398,MN/DB,9416,12,1
751,10270,R097,CR0303,NA,BM/OV,2,17/06/2018,2018,11:57:00,3.9,4,17,31.09717964,NA,NA,NA,BM/OV,8567,12,0
753,10270,R097,CR0303,NA,BM/OV,5,20/06/2018,2018,10:49:00,8.5,3,17.8,33.78922224,NA,NA,NA,BM/OV,8567,12,0
750,10270,R097,CR0303,NA,BM/OV,10,25/06/2018,2018,09:39:00,14,3,23.9,39.33816603,NA,NA,NA,BM/OV,8567,12,0
752,10270,R097,CR0303,NA,BM/OV,12,27/06/2018,2018,12:22:00,16.5,1,25,38.56353538,NA,NA,NA,BM/OV,8567,12,1
755,10271,R098,CR0304,MD/RB,MY/VO,2,17/06/2018,2018,12:12:00,2.8,1,16.9,31.90072421,R097,MD/RB,6755,MY/VO,8888,5,0
754,10271,R097,CR0304,NA,BM/OV,5,20/06/2018,2018,10:49:00,5.3,2,17.8,32.89443648,NA,NA,NA,BM/OV,8567,5,1
759,10272,R098,CR0305,MD/RB,MY/VO,2,17/06/2018,2018,12:12:00,3.3,2,16.9,32.26599527,R097,MD/RB,6755,MY/VO,8888,12,0
756,10272,R097,CR0305,NA,BM/OV,5,20/06/2018,2018,10:49:00,7.5,1,17.6,32.97628929,NA,NA,NA,BM/OV,8567,12,0
758,10272,R097,CR0305,NA,BM/OV,10,25/06/2018,2018,09:39:00,14.7,1,23.9,38.2693262,NA,NA,NA,BM/OV,8567,12,0
757,10272,R097,CR0305,NA,BM/OV,12,27/06/2018,2018,12:22:00,16.8,3,25.1,38.76043713,NA,NA,NA,BM/OV,8567,12,1
761,10273,R098,CR0306,MD/RB,MY/VO,2,17/06/2018,2018,12:12:00,3.5,3,16.9,31.24508559,R097,MD/RB,6755,MY/VO,8888,12,0
763,10273,R097,CR0306,NA,BM/OV,5,20/06/2018,2018,10:49:00,7.4,4,17.8,31.47576479,NA,NA,NA,BM/OV,8567,12,0
760,10273,R097,CR0306,NA,BM/OV,10,25/06/2018,2018,09:39:00,14.7,2,23.9,38.31476178,NA,NA,NA,BM/OV,8567,12,0
762,10273,R097,CR0306,NA,BM/OV,12,27/06/2018,2018,12:22:00,16.7,2,25.1,38.7140646,NA,NA,NA,BM/OV,8567,12,1
767,10274,R100,CR0307,MB/RB,MN/DB,2,17/06/2018,2018,12:23:00,4.3,1,16.9,33.72141705,R098,MB/RB,8398,MN/DB,9416,12,0
765,10274,R098,CR0307,MD/RB,MY/VO,5,20/06/2018,2018,11:02:00,10.3,2,18,32.96123226,NA,MD/RB,6755,MY/VO,8888,12,0
764,10274,R098,CR0307,MD/RB,MY/VO,10,25/06/2018,2018,09:49:00,22.8,1,24,40,NA,MD/RB,6755,MY/VO,8888,12,0
766,10274,R098,CR0307,MD/RB,MY/VO,12,27/06/2018,2018,12:41:00,25,3,25.6,39.4,NA,MD/RB,6755,MY/VO,8888,12,1
769,10275,R100,CR0308,MB/RB,MN/DB,2,17/06/2018,2018,12:23:00,5.8,2,16.9,32.00863116,R098,MB/RB,8398,MN/DB,9416,12,0
771,10275,R098,CR0308,MD/RB,MY/VO,5,20/06/2018,2018,11:02:00,12,1,18,34.11483718,NA,MD/RB,6755,MY/VO,8888,12,0
770,10275,R098,CR0308,MD/RB,MY/VO,10,25/06/2018,2018,09:49:00,23.5,2,24,38.92866163,NA,MD/RB,6755,MY/VO,8888,12,0
768,10275,R098,CR0308,MD/RB,MY/VO,12,27/06/2018,2018,12:41:00,27,1,25.6,39.07061631,NA,MD/RB,6755,MY/VO,8888,12,1
773,10276,R100,CR0309,MB/RB,MN/DB,2,17/06/2018,2018,12:23:00,2.4,3,16.9,28.7323904,R098,MB/RB,8398,MN/DB,9416,12,0
774,10276,R098,CR0309,MD/RB,MY/VO,5,20/06/2018,2018,11:02:00,5.7,3,18.1,30.80474153,NA,MD/RB,6755,MY/VO,8888,12,0
772,10276,R098,CR0309,MD/RB,MY/VO,10,25/06/2018,2018,09:49:00,13.1,3,24.1,36.94405821,NA,MD/RB,6755,MY/VO,8888,12,0
775,10276,R098,CR0309,MD/RB,MY/VO,12,27/06/2018,2018,12:41:00,19,2,25.6,39.4,NA,MD/RB,6755,MY/VO,8888,12,1
776,10277,R101,CR0310,CR/YM,BC/MB,2,18/06/2018,2018,12:22:00,4.6,1,16.2,33.40644453,R104,CR/YM,9159,BC/MB,8652,12,0
778,10277,R104,CR0310,NM/VY,NA,5,21/06/2018,2018,08:51:00,12.6,1,12.7,38.19631565,NA,NM/VY,9550,NA,NA,12,0
777,10277,R104,CR0310,NM/VY,NA,10,26/06/2018,2018,08:00:00,24.8,1,17.9,39.67984305,NA,NM/VY,9550,NA,NA,12,0
779,10277,R104,CR0310,NM/VY,NA,12,28/06/2018,2018,10:53:00,25.7,1,23.5,37.30548624,NA,NM/VY,9550,NA,NA,12,1
782,10278,R101,CR0311,CR/YM,BC/MB,2,18/06/2018,2018,12:22:00,6.7,2,16.2,33.26431126,NA,CR/YM,9159,BC/MB,8652,12,0
780,10278,R101,CR0311,CR/YM,BC/MB,5,21/06/2018,2018,08:56:00,15.2,1,12.7,34.15431436,NA,CR/YM,9159,BC/MB,8652,12,0
781,10278,R101,CR0311,CR/YM,BC/MB,10,26/06/2018,2018,07:40:00,23.2,1,17.6,40.15329664,NA,CR/YM,9159,BC/MB,8652,12,0
783,10278,R101,CR0311,CR/YM,BC/MB,12,28/06/2018,2018,10:22:00,25,2,23.1,38.45005713,NA,CR/YM,9159,BC/MB,8652,12,1
784,10279,R101,CR0312,CR/YM,BC/MB,2,18/06/2018,2018,12:22:00,5.8,3,16.2,32.4,NA,CR/YM,9159,BC/MB,8652,12,0
