Offspring,Dam,Sire,Cohort
4315,NA,NA,2000
4316,NA,NA,2000
4317,NA,NA,2000
4318,4438,4412,2000
4319,4438,4432,2000
4320,NA,NA,2000
4321,4498,4409,2000
4322,4498,4409,2000
4323,4498,4409,2000
4324,4447,4455,2000
4325,4447,4455,2000
4326,4447,4455,2000
4327,NA,NA,2000
4328,4496,4482,2000
4329,NA,NA,2000
4330,NA,NA,2000
4331,NA,NA,2000
4332,4430,4411,2000
4333,4430,4401,2000
4334,NA,NA,2000
4335,NA,NA,2000
4336,NA,NA,2000
4337,NA,NA,2000
4338,4434,4406,2000
4339,4434,4406,2000
4340,4434,4419,2000
4341,NA,NA,2000
4342,NA,NA,2000
4343,NA,NA,2000
4344,NA,NA,2000
4345,NA,NA,2000
4346,NA,NA,2000
4347,NA,NA,2000
4348,NA,NA,2000
4349,NA,NA,2000
4350,NA,NA,2000
4351,NA,NA,2000
4352,NA,NA,2000
4353,NA,NA,2000
4354,NA,NA,2000
4355,NA,NA,2000
4356,NA,NA,2000
4357,NA,NA,2000
4358,NA,NA,2000
4359,NA,NA,2000
4360,NA,NA,2000
4361,NA,NA,2000
4362,NA,NA,2000
4363,NA,NA,2000
4364,NA,NA,2000
4365,NA,NA,2000
4366,NA,NA,2000
4367,NA,NA,2000
4368,NA,NA,2000
4369,NA,NA,2000
4370,NA,NA,2000
4371,NA,NA,2000
4372,4442,4429,2000
4373,4442,4429,2000
4374,4442,4429,2000
4375,NA,NA,2000
4376,NA,NA,2000
4377,NA,NA,2000
4500,4441,4399,2000
4501,NA,NA,2000
4502,4443,4416,2000
4503,NA,4432,2000
4504,4430,4406,2000
1,4497,4470,2001
2,4497,4470,2001
3,4497,4470,2001
4,4497,4470,2001
5,4497,4470,2001
6,4443,4435,2001
7,4443,4435,2001
8,NA,NA,2001
9,NA,NA,2001
10,NA,NA,2001
11,4447,4403,2001
12,NA,NA,2001
13,4447,4403,2001
14,NA,NA,2001
15,4496,4467,2001
16,4496,4467,2001
17,4497,4429,2001
18,NA,NA,2001
19,NA,NA,2001
20,4495,4429,2001
21,4495,4429,2001
22,4495,4429,2001
23,4495,4435,2001
24,4494,4418,2001
25,4494,4463,2001
26,NA,NA,2001
27,4494,4412,2001
28,4489,4275,2001
29,4489,4275,2001
30,NA,NA,2001
31,4489,4275,2001
32,4290,4412,2001
33,4290,4412,2001
34,4290,4412,2001
35,4290,4412,2001
36,4497,4429,2001
37,4500,4499,2001
38,4500,4499,2001
39,4500,4499,2001
40,4500,4499,2001
41,4437,4415,2001
42,4437,4415,2001
43,NA,NA,2001
44,4437,4415,2001
45,4438,4432,2001
46,4438,4403,2001
47,4438,4403,2001
48,4438,4403,2001
49,4436,4230,2001
50,4436,4230,2001
51,4436,4230,2001
52,4436,4230,2001
53,4436,4230,2001
54,4177,4153,2001
55,4177,4153,2001
56,4177,4153,2001
57,4177,4153,2001
