"BirdID","Dam","Sire"
"812",NA,NA
"821",NA,NA
"840",NA,NA
"848",NA,NA
"855",NA,NA
"856",NA,NA
"864",NA,NA
"884",NA,NA
"914",NA,NA
"1066",NA,NA
"1067",NA,NA
"1071",NA,NA
"1078",NA,NA
"1106",NA,NA
"1107",NA,NA
"1108",NA,NA
"1109",NA,NA
"1110",NA,NA
"1111",NA,NA
"1112",NA,NA
"1113",NA,NA
"1114",NA,NA
"1115",NA,NA
"1116",NA,NA
"1117",NA,NA
"1118",NA,NA
"1119",NA,NA
"1120",NA,NA
"1121",NA,NA
"1122",NA,NA
"1123",NA,NA
"1124",NA,NA
"1125",NA,NA
"1126",NA,NA
"1127",NA,NA
"1128",NA,NA
"1129",NA,NA
"1130",NA,NA
"1131",NA,NA
"1132",NA,NA
"1133",NA,NA
"1134",NA,NA
"1135",NA,NA
"1136",NA,NA
"1137",NA,NA
"1138",NA,NA
"1139",NA,NA
"1140",NA,NA
"4379",NA,NA
"4389",NA,NA
"4393",NA,NA
"4426",NA,NA
"1156",NA,NA
"1159",NA,NA
"1163",NA,NA
"1164",NA,NA
"1175",NA,NA
"1178",NA,NA
"1179",NA,NA
"1184",NA,NA
"1190",NA,NA
"1219",NA,NA
"1220",NA,NA
"1237",NA,NA
"1240",NA,NA
"1245",NA,NA
"1246",NA,NA
"1247",NA,NA
"1268",NA,NA
"1269",NA,NA
"1270",NA,NA
"1288",NA,NA
"1296",NA,NA
"1297",NA,NA
"1312",NA,NA
"1331",NA,NA
"1332",NA,NA
"1336",NA,NA
"1345",NA,NA
"1350",NA,NA
"1351",NA,NA
"1352",NA,NA
"1383",NA,NA
"1384",NA,NA
"1385",NA,NA
"1389",NA,NA
"1392",NA,NA
"1401",NA,NA
"1402",NA,NA
"1403",NA,NA
"1404",NA,NA
"1444",NA,NA
"1452",NA,NA
"1453",NA,NA
"1457",NA,NA
"1491",NA,NA
"1516",NA,NA
"1538",NA,NA
"1548",NA,NA
"1551",NA,NA
"1552",NA,NA
"1553",NA,NA
"1577",NA,NA
"1578",NA,NA
"1583",NA,NA
"1613",NA,NA
"1614",NA,NA
"1615",NA,NA
"1618",NA,NA
"1624",NA,NA
"1631",NA,NA
"1650",NA,NA
"1677",NA,NA
"1678",NA,NA
"1679",NA,NA
"1682",NA,NA
"1685",NA,NA
"1686",NA,NA
"1701",NA,NA
"1711",NA,NA
"1714",NA,NA
"1723",NA,NA
"1735",NA,NA
"1736",NA,NA
"1755",NA,NA
"1756",NA,NA
"1757",NA,NA
"1758",NA,NA
"1759",NA,NA
"1763",NA,NA
"1777",NA,NA
"1782",NA,NA
"1817",NA,NA
"1822",NA,NA
"1850",NA,NA
"1885",NA,NA
"1891",NA,NA
"1892",NA,NA
"1894",NA,NA
"1895",NA,NA
"1896",NA,NA
"1897",NA,NA
"1924",NA,NA
"1925",NA,NA
"1926",NA,NA
"1927",NA,NA
"1938",NA,NA
"1942",NA,NA
"1953",NA,NA
"1958",NA,NA
"1959",NA,NA
"1960",NA,NA
"1963",NA,NA
"1964",NA,NA
"1977",NA,NA
"1978",NA,NA
"1979",NA,NA
"1980",NA,NA
"1981",NA,NA
"1982",NA,NA
"1985",NA,NA
"1987",NA,NA
"1988",NA,NA
"1992",NA,NA
"1996",NA,NA
"1997",NA,NA
"1998",NA,NA
"2019",NA,NA
"2021",NA,NA
"2022",NA,NA
"4378",NA,NA
"4381",NA,NA
"4394",NA,NA
"4396",NA,NA
"2024",NA,NA
"2031",NA,NA
"2034",NA,NA
"2035",NA,NA
"2036",NA,NA
"2043",NA,NA
"2044",NA,NA
"2045",NA,NA
"2047",NA,NA
"2048",NA,NA
"2052",NA,NA
"2057",NA,NA
"2058",NA,NA
"2063",NA,NA
"2064",NA,NA
"2065",NA,NA
"2066",NA,NA
"2077",NA,NA
"2078",NA,NA
"2079",NA,NA
"2093",NA,NA
"2094",NA,NA
"2095",NA,NA
"2096",NA,NA
"2097",NA,NA
"2101",NA,NA
"2102",NA,NA
"2108",NA,NA
"2112",NA,NA
"2118",NA,NA
"2119",NA,NA
"2120",NA,NA
"2121",NA,NA
"2122",NA,NA
"2123",NA,NA
"2124",NA,NA
"2125",NA,NA
"2130",NA,NA
"2135",NA,NA
"2146",NA,NA
"2147",NA,NA
"2156",NA,NA
"2160",NA,NA
"2161",NA,NA
"2165",NA,NA
"2209",NA,NA
"2221",NA,NA
"2230",NA,NA
"2240",NA,NA
"2266",NA,NA
"2271",NA,NA
"2281",NA,NA
"2282",NA,NA
"2283",NA,NA
"2288",NA,NA
"2293",NA,NA
"2297",NA,NA
"2298",NA,NA
"2302",NA,NA
"2303",NA,NA
"2304",NA,NA
"2321",NA,NA
"2372",NA,NA
"2375",NA,NA
"2376",NA,NA
"2377",NA,NA
"2382",NA,NA
"2386",NA,NA
"2400",NA,NA
"2401",NA,NA
"2402",NA,NA
"2412",NA,NA
"2413",NA,NA
"2427",NA,NA
"2428",NA,NA
"2429",NA,NA
"2430",NA,NA
"2431",NA,NA
"2432",NA,NA
"2433",NA,NA
"2460",NA,NA
"2474",NA,NA
"2478",NA,NA
"2484",NA,NA
"2486",NA,NA
"2504",NA,NA
"2512",NA,NA
"2518",NA,NA
"2522",NA,NA
"2525",NA,NA
"2531",NA,NA
"2535",NA,NA
"2540",NA,NA
"2545",NA,NA
"2552",NA,NA
"2563",NA,NA
"2602",NA,NA
"2611",NA,NA
"2612",NA,NA
"2629",NA,NA
"2630",NA,NA
"2634",NA,NA
"2640",NA,NA
"2641",NA,NA
"2642",NA,NA
"2643",NA,NA
"2669",NA,NA
"2679",NA,NA
"2688",NA,NA
"2689",NA,NA
"2690",NA,NA
"2695",NA,NA
"2697",NA,NA
"2698",NA,NA
"2699",NA,NA
"2700",NA,NA
"2729",NA,NA
"2734",NA,NA
"2742",NA,NA
"2743",NA,NA
"2744",NA,NA
"2745",NA,NA
"2746",NA,NA
"2757",NA,NA
"2758",NA,NA
"2770",NA,NA
"2774",NA,NA
"2775",NA,NA
"2776",NA,NA
"2779",NA,NA
"2780",NA,NA
"2781",NA,NA
"2782",NA,NA
"2786",NA,NA
"2795",NA,NA
"2804",NA,NA
"2805",NA,NA
"2826",NA,NA
"2827",NA,NA
"2828",NA,NA
"2829",NA,NA
"2835",NA,NA
"2848",NA,NA
"2854",NA,NA
"2862",NA,NA
"2863",NA,NA
"2878",NA,NA
"2882",NA,NA
"2889",NA,NA
"2897",NA,NA
"2908",NA,NA
"2909",NA,NA
"2917",NA,NA
"2934",NA,NA
"2937",NA,NA
"2938",NA,NA
"2942",NA,NA
"2950",NA,NA
"2952",NA,NA
"2953",NA,NA
"2956",NA,NA
"2957",NA,NA
"2965",NA,NA
"2977",NA,NA
"2978",NA,NA
"2983",NA,NA
"2993",NA,NA
"2995",NA,NA
"2996",NA,NA
"3006",NA,NA
"3007",NA,NA
"3008",NA,NA
"3009",NA,NA
"3010",NA,NA
"3011",NA,NA
"3012",NA,NA
"3016",NA,NA
"3018",NA,NA
"3021",NA,NA
"3022",NA,NA
"3023",NA,NA
"3024",NA,NA
"3028",NA,NA
"3051",NA,NA
"3069",NA,NA
"3070",NA,NA
"3071",NA,NA
"3072",NA,NA
"3077",NA,NA
"3078",NA,NA
"3079",NA,NA
"3080",NA,NA
"3081",NA,NA
"3098",NA,NA
"3099",NA,NA
"3109",NA,NA
"3114",NA,NA
"3117",NA,NA
"3127",NA,NA
"3128",NA,NA
"3129",NA,NA
"3130",NA,NA
"3135",NA,NA
"3137",NA,NA
"3138",NA,NA
"3139",NA,NA
"3143",NA,NA
"3151",NA,NA
"3161",NA,NA
"3162",NA,NA
"3163",NA,NA
"3164",NA,NA
"3165",NA,NA
"3169",NA,NA
"3186",NA,NA
"3187",NA,NA
"3189",NA,NA
"3191",NA,NA
"3192",NA,NA
"3193",NA,NA
"3194",NA,NA
"3195",NA,NA
"3196",NA,NA
"3197",NA,NA
"3198",NA,NA
"3199",NA,NA
"3203",NA,NA
"3226",NA,NA
"3228",NA,NA
"3235",NA,NA
"3236",NA,NA
"3237",NA,NA
"3238",NA,NA
"3239",NA,NA
"3253",NA,NA
"3268",NA,NA
"3271",NA,NA
"3282",NA,NA
"3294",NA,NA
"3306",NA,NA
"3307",NA,NA
"3317",NA,NA
"3322",NA,NA
"3323",NA,NA
"3324",NA,NA
"3326",NA,NA
"3327",NA,NA
"3328",NA,NA
